                                                                                                                                                                                                                                Inflow, Water Elevation, Outflow
    91.27195740,     9.73913193,     0.77953315
    91.73940277,     9.74094009,     0.78347945
    92.15904236,     9.74275589,     0.78747141
    92.15180206,     9.74457169,     0.79149216
    91.84662628,     9.74638176,     0.79552871
    91.38553619,     9.74818230,     0.79957193
    90.86131287,     9.74997234,     0.80361915
    90.32736206,     9.75175190,     0.80766952
    89.81272888,     9.75352097,     0.81172246
    89.33249664,     9.75528049,     0.81577951
    88.89427185,     9.75703049,     0.81984007
    88.50250244,     9.75877285,     0.82390809
    88.16227722,     9.76050854,     0.82798517
    87.41539001,     9.76222897,     0.83205068
    86.80043030,     9.76393795,     0.83611280
    86.03978729,     9.76563168,     0.84016180
    85.38490295,     9.76731205,     0.84420156
    85.33451080,     9.76899147,     0.84826148
    86.84274292,     9.77070045,     0.85241568
    91.60839844,     9.77250385,     0.85682428
   101.81398010,     9.77451038,     0.86175925
   118.85916138,     9.77685547,     0.86756635
   143.99232483,     9.77970028,     0.87466764
   177.73550415,     9.78321552,     0.88352752
   219.23480225,     9.78755474,     0.89459246
   267.22351074,     9.79284763,     0.90827829
   319.90402222,     9.79918766,     0.92494082
   374.54324341,     9.80661297,     0.94482195
   428.86065674,     9.81511688,     0.96806610
   480.92095947,     9.82465553,     0.99472862
   529.23583984,     9.83515358,     1.02477646
   572.77673340,     9.84651661,     1.05810976
   610.93237305,     9.85863686,     1.09456801
   643.43890381,     9.87140274,     1.13395059
   670.28515625,     9.88470078,     1.17601788
   691.67767334,     9.89842319,     1.22051454
   707.96087646,     9.91246891,     1.26717377
   719.57312012,     9.92674446,     1.31572247
   726.96997070,     9.94116592,     1.36589241
   730.63269043,     9.95565891,     1.41742396
   731.03186035,     9.96000004,   514.03692627
   728.61437988,     9.96000004,   730.04962158
   723.79577637,     9.96000004,   725.23095703
   716.95489502,     9.96000004,   718.39007568
   708.43267822,     9.96000004,   709.86785889
   698.53247070,     9.96000004,   699.96759033
   687.52111816,     9.96000004,   688.95623779
   675.63122559,     9.96000004,   677.06628418
   663.06420898,     9.96000004,   664.49920654
   649.99975586,     9.96000004,   651.43475342
   636.57897949,     9.96000004,   638.01391602
   622.92926025,     9.96000004,   624.36413574
   609.17449951,     9.96000004,   610.60937500
   595.40368652,     9.96000004,   596.83850098
   581.68798828,     9.96000004,   583.12274170
   568.08587646,     9.96000004,   569.52062988
   554.64483643,     9.96000004,   556.07952881
   541.40319824,     9.96000004,   542.83789062
   528.39184570,     9.96000004,   529.82647705
   515.63513184,     9.96000004,   517.06970215
   503.14837646,     9.96000004,   504.58291626
   490.95123291,     9.96000004,   492.38574219
   479.05108643,     9.96000004,   480.48556519
   467.45492554,     9.96000004,   468.88937378
   456.16662598,     9.96000004,   457.60104370
   445.18753052,     9.96000004,   446.62191772
   434.51705933,     9.96000004,   435.95141602
   424.15310669,     9.96000004,   425.58743286
   414.09210205,     9.96000004,   415.52639771
   404.32955933,     9.96000004,   405.76382446
   394.86013794,     9.96000004,   396.29437256
   385.67788696,     9.96000004,   387.11209106
   376.77621460,     9.96000004,   378.21038818
   368.14965820,     9.96000004,   369.58380127
   359.78958130,     9.96000004,   361.22372437
   351.68875122,     9.96000004,   353.12286377
   343.83972168,     9.96000004,   345.27380371
   336.23504639,     9.96000004,   337.66909790
   328.86718750,     9.96000004,   330.30123901
   321.72869873,     9.96000004,   323.16271973
   314.81219482,     9.96000004,   316.24618530
   308.11047363,     9.96000004,   309.54446411
   301.61645508,     9.96000004,   303.05041504
   295.32312012,     9.96000004,   296.75704956
   289.22369385,     9.96000004,   290.65762329
   283.31207275,     9.96000004,   284.74597168
   277.58129883,     9.96000004,   279.01519775
   272.02520752,     9.96000004,   273.45907593
   266.63775635,     9.96000004,   268.07162476
   261.41314697,     9.96000004,   262.84698486
   256.34564209,     9.96000004,   257.77947998
   251.42977905,     9.96000004,   252.86358643
   246.66023254,     9.96000004,   248.09402466
   242.03192139,     9.96000004,   243.46569824
   237.53988647,     9.96000004,   238.97364807
   233.17944336,     9.96000004,   234.61320496
   228.94595337,     9.96000004,   230.37969971
   224.83511353,     9.96000004,   226.26884460
   220.84265137,     9.96000004,   222.27636719
   216.96449280,     9.96000004,   218.39819336
   213.19671631,     9.96000004,   214.63041687
   209.53553772,     9.96000004,   210.96922302
   205.97734070,     9.96000004,   207.41101074
   202.51856995,     9.96000004,   203.95223999
   199.15589905,     9.96000004,   200.58955383
   195.88604736,     9.96000004,   197.31968689
   192.70594788,     9.96000004,   194.13958740
   189.61254883,     9.96000004,   191.04617310
