                                                                                                                                                                                                                                Inflow, Water Elevation, Outflow
     9.99588108,  2752.62817383,    83.57359314
    10.00141621,  2752.62817383,    83.57359314
    10.01065063,  2752.62817383,    83.57359314
    10.02137756,  2752.62817383,    83.57359314
    10.01987648,  2752.62817383,    83.57359314
    10.00103188,  2752.62817383,    83.57359314
    10.00236320,  2752.62817383,    83.57359314
     9.99951363,  2752.62817383,    83.57359314
     9.98967552,  2752.62817383,    83.57359314
     9.97971153,  2752.62817383,    83.57359314
     9.96794415,  2752.62817383,    83.57359314
     9.96251869,  2752.62817383,    83.57359314
     9.96622753,  2752.62817383,    83.57359314
     9.96940804,  2752.62817383,    83.57359314
     9.94854164,  2752.62817383,    83.57359314
     9.90587425,  2752.62817383,    83.57359314
     9.84523964,  2752.62817383,    83.57359314
     9.77688694,  2752.62792969,    83.56960297
     9.71809578,  2752.62792969,    83.56960297
     9.64818287,  2752.62792969,    83.56960297
     9.60776711,  2752.62792969,    83.56960297
     9.65137291,  2752.62792969,    83.56960297
    15.31308746,  2752.62963867,    83.59754181
    18.23055077,  2752.63061523,    83.61351013
    13.09232140,  2752.62890625,    83.58556366
    11.27329826,  2752.62841797,    83.57758331
    10.44720459,  2752.62817383,    83.57359314
    10.07451439,  2752.62817383,    83.57359314
     9.91966629,  2752.62817383,    83.57359314
     9.85200500,  2752.62817383,    83.57359314
     9.81872463,  2752.62792969,    83.56960297
     9.79482365,  2752.62792969,    83.56960297
     9.77195740,  2752.62792969,    83.56960297
     9.76284122,  2752.62792969,    83.56960297
     9.75771809,  2752.62792969,    83.56960297
     9.74447823,  2752.62792969,    83.56960297
     9.73685837,  2752.62792969,    83.56960297
     9.72882271,  2752.62792969,    83.56960297
     9.69560814,  2752.62792969,    83.56960297
     9.74189758,  2752.62792969,    83.56960297
     9.81274891,  2752.62792969,    83.56960297
     9.72565460,  2752.62792969,    83.56960297
    10.56317806,  2752.62817383,    83.57359314
    12.05513000,  2752.62866211,    83.58157349
    11.84884071,  2752.62866211,    83.58157349
    10.89204407,  2752.62841797,    83.57758331
    10.11142159,  2752.62817383,    83.57359314
     9.81208801,  2752.62792969,    83.56960297
     9.77371025,  2752.62792969,    83.56960297
     9.73585510,  2752.61401367,    83.34219360
     9.68481827,  2752.59985352,    83.11101532
     9.61640453,  2752.58569336,    82.88006592
     9.57142258,  2752.57153320,    82.64933777
     9.55957317,  2752.55786133,    82.42676544
     9.56091785,  2752.54394531,    82.20044708
     9.56947708,  2752.53002930,    81.97433472
     9.58282757,  2752.51611328,    81.74843597
     9.58765888,  2752.50244141,    81.52671051
     9.58711052,  2752.48852539,    81.30124664
     9.58293915,  2752.47485352,    81.07994080
     9.56895161,  2752.46118164,    80.85884857
     9.56785774,  2752.44775391,    80.64190674
     9.54868507,  2752.43408203,    80.42121887
     9.50541687,  2752.42041016,    80.20075226
     9.43444633,  2752.40673828,    79.98048401
     9.38631821,  2752.39355469,    79.76828766
     9.39080524,  2752.38012695,    79.55235291
     9.50545311,  2752.36669922,    79.33663177
     9.82387352,  2752.35351562,    79.12502289
    11.05020142,  2752.34082031,    78.92143250
    10.54804802,  2752.32763672,    78.71021271
     9.86888599,  2752.31469727,    78.50308990
     9.56863976,  2752.30151367,    78.29225922
     9.45584869,  2752.28710938,    78.06212616
     9.41191673,  2752.27294922,    77.83612061
     9.37691307,  2752.25878906,    77.61035156
     9.36438179,  2752.24462891,    77.38479614
