                                                                                                                                                                                                                                Inflow, Water Elevation, Outflow
   189.22898865,  1335.18005371,   189.22898865
   189.27005005,  1335.18005371,   189.27005005
   189.31048584,  1335.18005371,   189.31048584
   189.35041809,  1335.18005371,   189.35041809
   189.38964844,  1335.18005371,   189.38964844
   189.42819214,  1335.18005371,   189.42819214
   189.46588135,  1335.18005371,   189.46588135
   189.50273132,  1335.18005371,   189.50273132
   189.53858948,  1335.18005371,   189.53858948
   189.57345581,  1335.18005371,   189.57345581
   189.60719299,  1335.18005371,   189.60719299
   189.63978577,  1335.18005371,   189.63978577
   189.67109680,  1335.18005371,   189.67109680
   189.70109558,  1335.18005371,   189.70109558
   189.72967529,  1335.18005371,   189.72967529
   189.75679016,  1335.18005371,   189.75679016
   189.78230286,  1335.18005371,   189.78230286
   189.80616760,  1335.18005371,   189.80616760
   189.82821655,  1335.18005371,   189.82821655
   189.84841919,  1335.18005371,   189.84841919
   189.86653137,  1335.18005371,   189.86653137
   189.88255310,  1335.18005371,   189.88255310
   189.89622498,  1335.18005371,   189.89622498
   189.90751648,  1335.18005371,   189.90751648
   189.91612244,  1335.18005371,   189.91612244
   189.92199707,  1335.18005371,   189.92199707
   189.92481995,  1335.18005371,   189.92481995
   189.92446899,  1335.18005371,   189.92446899
   189.92066956,  1335.18005371,   189.92066956
   189.91319275,  1335.18005371,   189.91319275
   189.90174866,  1335.18005371,   189.90174866
   189.88610840,  1335.18005371,   189.88610840
   189.86592102,  1335.18005371,   189.86592102
   189.84088135,  1335.18005371,   189.84088135
   189.81063843,  1335.18005371,   189.81063843
   189.77487183,  1335.18005371,   189.77487183
   189.73316956,  1335.18005371,   189.73316956
   189.68519592,  1335.18005371,   189.68519592
   189.63050842,  1335.18005371,   189.63050842
   189.56872559,  1335.18005371,   189.56872559
   189.49938965,  1335.18005371,   189.49938965
   189.42207336,  1335.18005371,   189.42207336
   189.33634949,  1335.18005371,   189.33634949
   189.24176025,  1335.18005371,   189.24176025
   189.13781738,  1335.18005371,   189.13781738
   189.02407837,  1335.18005371,   189.02407837
   188.90008545,  1335.18005371,   188.90008545
   188.76535034,  1335.18005371,   188.76535034
   188.61944580,  1335.18005371,   188.61944580
   188.46188354,  1335.18005371,   188.46188354
   188.29223633,  1335.18005371,   188.29223633
   188.11006165,  1335.18005371,   188.11006165
   187.91493225,  1335.18005371,   187.91493225
   187.70643616,  1335.18005371,   187.70643616
   187.48419189,  1335.18005371,   187.48419189
   187.24778748,  1335.18005371,   187.24778748
   186.99690247,  1335.18005371,   186.99690247
   186.73118591,  1335.18005371,   186.73118591
   186.45034790,  1335.18005371,   186.45034790
   186.15406799,  1335.18005371,   186.15406799
   185.84213257,  1335.18005371,   185.84213257
   185.51423645,  1335.18005371,   185.51423645
   185.17022705,  1335.18005371,   185.17022705
   184.80989075,  1335.18005371,   184.80989075
   184.43312073,  1335.18005371,   184.43312073
   184.03974915,  1335.18005371,   184.03974915
   183.62973022,  1335.18005371,   183.62973022
   183.20295715,  1335.18005371,   183.20295715
   182.75942993,  1335.18005371,   182.75942993
   182.29908752,  1335.18005371,   182.29908752
   181.82205200,  1335.18005371,   181.82205200
   181.32827759,  1335.18005371,   181.32827759
   180.81791687,  1335.18005371,   180.81791687
   180.29098511,  1335.18005371,   180.29098511
   179.74774170,  1335.18005371,   179.74774170
   179.18820190,  1335.18005371,   179.18820190
   178.61267090,  1335.18005371,   178.61267090
   178.02128601,  1335.18005371,   178.02128601
   177.41436768,  1335.18005371,   177.41436768
   176.79206848,  1335.18005371,   176.79206848
   176.15475464,  1335.18005371,   176.15475464
   175.50268555,  1335.18005371,   175.50268555
   174.83627319,  1335.18005371,   174.83627319
   174.15576172,  1335.18005371,   174.15576172
   173.46162415,  1335.18005371,   173.46162415
   172.75416565,  1335.18005371,   172.75416565
   172.03388977,  1335.18005371,   172.03388977
   171.30110168,  1335.18005371,   171.30110168
   170.55633545,  1335.18005371,   170.55633545
   169.79997253,  1335.18005371,   169.79997253
   169.03254700,  1335.18005371,   169.03254700
   168.25440979,  1335.18005371,   168.25440979
   167.46615601,  1335.18005371,   167.46615601
   166.66815186,  1335.18005371,   166.66815186
   165.86099243,  1335.18005371,   165.86099243
   165.04508972,  1335.18005371,   165.04508972
   164.22100830,  1335.18005371,   164.22100830
   163.38912964,  1335.18005371,   163.38912964
