                                                                                                                                                                                                                                Inflow, Water Elevation, Outflow
    53.90311432,   274.61999512,    73.24945068
    53.91786957,   274.61999512,    73.26421356
    53.93703461,   274.61999512,    73.28338623
    53.95998764,   274.61999512,    73.30633545
    53.98430634,   274.61999512,    73.33065796
    54.00723648,   274.61999512,    73.35359192
    54.02739334,   274.61999512,    73.37375641
    54.04378891,   274.61999512,    73.39015198
    54.05707169,   274.61999512,    73.40344238
    54.06723404,   274.61999512,    73.41360474
    54.07527924,   274.61999512,    73.42164612
    54.08158875,   274.61999512,    73.42796326
    54.08641052,   274.61999512,    73.43278503
    54.08982849,   274.61999512,    73.43620300
    54.09233475,   274.61999512,    73.43870544
    54.09416962,   274.61999512,    73.44054413
    54.09580994,   274.61999512,    73.44218445
    54.09828186,   274.61999512,    73.44465637
    54.10053253,   274.61999512,    73.44690704
    54.10170746,   274.61999512,    73.44808197
    54.10231018,   274.61999512,    73.44868469
    54.10269547,   274.61999512,    73.44907379
    54.10293961,   274.61999512,    73.44931793
    54.10284042,   274.61999512,    73.44921875
    54.10264206,   274.61999512,    73.44902039
    54.10239410,   274.61999512,    73.44876862
    54.10213089,   274.61999512,    73.44850922
    54.10182953,   274.61999512,    73.44820404
    54.10127640,   274.61999512,    73.44765472
    54.09965134,   274.61999512,    73.44602966
    54.09722519,   274.61999512,    73.44360352
    54.09513474,   274.61999512,    73.44151306
    54.09367752,   274.61999512,    73.44004822
    54.19564056,   274.61999512,    73.54203033
    54.30570221,   274.61999512,    73.65211487
    55.58597183,   274.61999512,    74.93260193
    55.75304031,   274.61999512,    75.09970093
    55.20536423,   274.61999512,    74.55193329
    54.57891846,   274.61999512,    73.92537689
    54.33662415,   274.61999512,    73.68304443
    54.22526550,   274.61999512,    73.57166290
    54.17180634,   274.61999512,    73.51819611
    54.14326096,   274.61999512,    73.48963928
    54.12674713,   274.61999512,    73.47312927
    54.11689377,   274.61999512,    73.46327209
    54.11077881,   274.61999512,    73.45715332
    54.10967636,   274.61999512,    73.45605469
    54.11038971,   274.61999512,    73.45677185
    54.11120224,   274.61999512,    73.45758057
    54.11200333,   274.61999512,    73.45838165
    54.11059570,   274.61999512,    73.45697021
    54.11201859,   274.61999512,    73.45839691
    54.11053085,   274.61999512,    73.45690918
    54.10826111,   274.61999512,    73.45463562
    54.10373688,   274.61999512,    73.45011139
    54.09829712,   274.61999512,    73.44467163
    54.09353638,   274.61999512,    73.43991089
    54.08996582,   274.61999512,    73.43634033
    54.08716583,   274.61999512,    73.43354034
    54.08529282,   274.61999512,    73.43166351
    54.08404541,   274.61999512,    73.43041992
    54.08319092,   274.61999512,    73.42956543
    54.08249664,   274.61999512,    73.42886353
    54.08199310,   274.61999512,    73.42835999
    54.08330917,   274.61999512,    73.42967987
    54.08510971,   274.61999512,    73.43148041
    54.08648300,   274.61999512,    73.43285370
    54.08737946,   274.61999512,    73.43375397
    54.08800507,   274.61999512,    73.43437958
    54.08850098,   274.61999512,    73.43487549
    54.08892441,   274.61999512,    73.43529510
    54.08926392,   274.61999512,    73.43563843
    54.08958817,   274.61999512,    73.43595886
    54.08986664,   274.61999512,    73.43624115
    54.09008789,   274.61999512,    73.43646240
    54.09034348,   274.61999512,    73.43671417
    54.09031677,   274.61999512,    73.43669128
    54.08958817,   274.61999512,    73.43595886
    54.08812332,   274.61999512,    73.43449402
    54.08600235,   274.61999512,    73.43237305
    54.08399582,   274.61999512,    73.43036652
    54.08238983,   274.61999512,    73.42875671
    54.08121109,   274.61999512,    73.42758179
    54.08034897,   274.61999512,    73.42671967
    54.07964706,   274.61999512,    73.42601776
    54.07909393,   274.61999512,    73.42546082
    54.07884979,   274.61999512,    73.42521667
    54.08281708,   274.61999512,    73.42919159
    54.08531570,   274.61999512,    73.43168640
    54.08742523,   274.61999512,    73.43379974
    54.08859253,   274.61999512,    73.43496704
    54.08930588,   274.61999512,    73.43567657
    54.10828400,   274.61999512,    73.45465851
    54.65833664,   274.61999512,    74.00480652
    54.21286774,   274.61999512,    73.55926514
    54.11828995,   274.61999512,    73.46466827
    54.09947968,   274.61999512,    73.44585419
    54.12395477,   274.61999512,    73.47033691
    54.11943054,   274.61999512,    73.46581268
    54.10286331,   274.61999512,    73.44924164
    54.09334946,   274.61999512,    73.43972778
    54.08882904,   274.61999512,    73.43520355
    54.08577728,   274.61999512,    73.43215179
    54.08359909,   274.61999512,    73.42996979
    54.08152008,   274.61999512,    73.42788696
    54.07999420,   274.61999512,    73.42636108
    54.07882309,   274.61999512,    73.42519379
    54.07793045,   274.61999512,    73.42430115
    54.07722855,   274.61999512,    73.42359924
    54.07661438,   274.61999512,    73.42298889
    54.07606125,   274.61999512,    73.42243195
    54.07554626,   274.61999512,    73.42192078
    54.07511520,   274.61999512,    73.42148590
    54.07524490,   274.61999512,    73.42161560
    54.07544708,   274.61999512,    73.42181396
    54.07552338,   274.61999512,    73.42189026
    54.07551193,   274.61999512,    73.42188263
    54.07550049,   274.61999512,    73.42187500
    54.07545853,   274.61999512,    73.42182922
    54.07543945,   274.61999512,    73.42181396
    54.07541275,   274.61999512,    73.42178345
    54.07563019,   274.61999512,    71.54611206
    54.07577515,   274.61999512,    71.09568024
    54.07575989,   274.61999512,    70.98532104
    54.07554245,   274.61999512,    70.96671295
    54.07514572,   274.61999512,    70.95712280
    54.07433319,   274.61999512,    70.95630646
    54.07344818,   274.61999512,    70.95542145
    54.07276154,   274.61999512,    70.95473480
    54.07234955,   274.61999512,    70.95432281
    54.07195282,   274.61999512,    70.95392609
    54.07122803,   274.61999512,    70.95320129
    54.07051468,   274.61999512,    70.95248413
    54.07000351,   274.61999512,    70.95197296
    54.06949997,   274.61999512,    70.95146942
    54.06901169,   274.61999512,    70.95098114
    54.06852341,   274.61999512,    70.95049286
    54.06806183,   274.61999512,    70.95003510
    54.06759644,   274.61999512,    70.94956970
    54.06725311,   274.61999512,    70.94922638
    54.06687164,   274.61999512,    70.94884491
    54.06653214,   274.61999512,    70.94850159
    54.06588364,   274.61999512,    70.94785309
    54.06549835,   274.61999512,    70.94747162
    54.06518936,   274.61999512,    70.94715881
    54.06489563,   274.61999512,    68.52844238
    54.06462097,   274.61999512,    68.03161621
    54.06447220,   274.61999512,    67.93031311
    54.06450272,   274.61999512,    67.91195679
    54.06424332,   274.61999512,    67.91169739
    54.06519699,   274.61999512,    67.91265106
    54.09668350,   274.61999512,    67.94413757
    54.17344284,   274.61999512,    68.02091217
    54.67417526,   274.61999512,    68.54013062
    54.66254044,   274.61999512,    68.63883209
    54.29978180,   274.61999512,    68.29440308
    54.17370224,   274.61999512,    68.09473419
    54.12693405,   274.61999512,    68.01118469
    54.10535431,   274.61999512,    67.97120667
    54.09306335,   274.61999512,    67.94971466
    54.08551407,   274.61999512,    67.94216919
    54.08049011,   274.61999512,    67.92794800
    54.07740021,   274.61999512,    67.92485046
    54.07635880,   274.61999512,    67.92381287
    54.07640457,   274.61999512,    67.92385864
    54.07663727,   274.61999512,    67.92408752
    54.07648849,   274.61999512,    67.92394257
    54.07564926,   274.61999512,    67.92310333
    54.07505417,   274.61999512,    67.92250824
    54.07479858,   274.61999512,    65.69693756
    54.07475281,   274.61999512,    65.31987762
    54.07489395,   274.61999512,    65.25564575
    54.07516861,   274.61999512,    65.23753357
    54.07550049,   274.61999512,    65.23786926
    54.07353592,   274.61999512,    65.23590088
    54.07111740,   274.61999512,    65.23348236
    54.06858826,   274.61999512,    65.23095703
    54.06657028,   274.61999512,    65.22892761
    54.06501007,   274.61999512,    65.22737122
    54.06341171,   274.61999512,    65.22576904
    54.06219482,   274.61999512,    65.22456360
    54.06127548,   274.61999512,    65.22363281
    54.06064606,   274.61999512,    65.22300720
    54.06031418,   274.61999512,    65.22267151
    54.06051636,   274.61999512,    65.22288513
    54.06123352,   274.61999512,    65.22360229
    54.06177139,   274.61999512,    65.22413635
    54.06209183,   274.61999512,    65.22445679
    54.06216049,   274.61999512,    65.22451782
    54.06186676,   274.61999512,    65.22422791
    54.06183624,   274.61999512,    65.22419739
    54.06179428,   274.61999512,    65.22415161
    54.06173706,   274.61999512,    65.22410583
    54.06168365,   274.61999512,    64.16656494
    54.06158066,   274.61999512,    64.00093842
    54.06153107,   274.61999512,    63.97330475
    54.06146240,   274.61999512,    63.97323608
    54.06078720,   274.61999512,    63.97255707
    54.05965805,   274.61999512,    63.97142792
    54.05853271,   274.61999512,    63.97030258
    54.05766678,   274.61999512,    63.96943665
    54.05699539,   274.61999512,    63.96876526
    54.05644608,   274.61999512,    63.96821594
    54.05597687,   274.61999512,    63.95855331
    54.05552673,   274.61999512,    63.95810318
    54.05489731,   274.61999512,    63.95747375
    54.05427551,   274.61999512,    63.95685196
    54.05387115,   274.61999512,    63.95644760
    54.05344009,   274.61999512,    63.95601654
    54.05304718,   274.61999512,    63.95562363
    54.05236053,   274.61999512,    63.95493698
    54.05192566,   274.61999512,    63.95450211
    54.05156708,   274.61999512,    63.95414352
    54.05126190,   274.61999512,    63.95383835
    54.05095673,   274.61999512,    63.95353317
    54.05067444,   274.61999512,    63.95325089
    54.05040741,   274.61999512,    63.95298386
    54.05013657,   274.61999512,    62.82166290
    54.04988098,   274.61999512,    62.66508484
    54.04964828,   274.61999512,    62.64646149
    54.04941177,   274.61999512,    62.64622498
    54.04918289,   274.61999512,    62.64599609
    54.04880524,   274.61999512,    62.64561844
    54.04826355,   274.61999512,    62.64507294
    54.04798508,   274.61999512,    62.64479828
    54.04768372,   274.61999512,    62.64449310
    54.04738617,   274.61999512,    62.64419556
    54.04704285,   274.61999512,    62.64385223
    54.04668808,   274.61999512,    62.64350128
    54.04629135,   274.61999512,    62.64310455
    54.04589081,   274.61999512,    62.64270020
    54.04545593,   274.61999512,    62.64226532
    54.04504776,   274.61999512,    62.64186096
    54.04448700,   274.61999512,    62.64129639
    54.04377747,   274.61999512,    62.64058685
    54.04333878,   274.61999512,    62.64015198
    54.04291534,   274.61999512,    62.63972473
    54.04253769,   274.61999512,    62.63935089
    54.04214478,   274.61999512,    62.63895416
    54.04179382,   274.61999512,    62.63860321
